G1,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,shoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences
9,0,0,19,1,0,0,3,2,0,0,2,0,1,2,1,1,1,0,0,1,0,1,0,3,3,3,4,3,3,0
10,0,1,18,0,1,0,4,3,4,0,0,1,2,1,0,0,0,0,1,1,1,1,0,4,2,3,1,2,1,0
10,0,1,18,0,0,0,1,2,2,1,1,2,2,1,0,0,0,0,0,0,0,1,0,3,4,4,2,4,4,10
11,0,1,17,0,1,1,4,1,0,1,1,1,2,1,0,0,0,0,1,1,1,1,1,4,5,4,2,4,5,22
13,0,1,17,0,1,1,3,2,4,0,1,1,1,1,0,0,0,0,0,1,1,1,0,4,4,4,3,4,3,18
17,0,0,18,1,1,0,1,1,2,1,2,1,2,4,0,0,1,0,1,1,1,0,0,5,2,2,1,1,3,2
12,0,0,18,0,0,0,1,1,1,1,1,1,2,2,0,1,0,0,1,1,1,1,0,5,4,4,1,1,4,0
12,0,0,17,0,0,0,2,2,1,1,0,1,1,2,0,0,1,0,0,0,1,1,0,5,4,5,1,2,5,12
12,0,0,18,0,0,0,2,1,1,1,2,1,2,2,0,0,0,0,1,1,1,1,1,4,3,1,1,1,5,10
12,0,1,17,0,0,0,1,1,1,1,2,0,1,2,0,0,0,0,0,0,1,1,0,4,3,3,1,2,4,0
18,0,0,18,0,0,0,2,2,2,2,3,1,1,3,0,0,1,0,0,1,1,1,0,4,3,3,1,2,2,0
13,0,0,17,0,0,0,1,1,0,4,2,1,1,3,0,0,1,0,0,1,1,1,0,4,3,3,1,1,3,0
14,0,1,18,0,0,0,2,1,0,0,2,1,1,3,0,0,0,0,1,1,1,1,0,4,2,4,1,3,2,0
17,0,1,18,0,1,1,4,4,4,4,2,1,1,2,0,0,1,0,1,1,1,1,0,5,4,3,1,1,2,0
15,0,1,18,0,0,0,4,2,4,1,1,1,1,2,0,0,1,0,1,1,1,1,1,4,3,2,1,4,5,2
17,0,0,17,0,0,0,4,3,3,0,2,1,1,3,0,0,1,0,0,1,1,1,0,4,2,2,1,2,3,0
18,0,0,17,1,1,0,3,1,0,1,2,1,2,4,0,0,1,0,0,1,1,0,0,3,1,2,1,1,3,0
14,0,1,18,1,1,0,3,2,0,1,2,1,2,3,0,0,1,0,1,1,1,1,0,5,4,2,1,1,4,0
14,0,1,17,0,0,0,3,3,3,1,1,1,1,1,0,0,1,0,0,1,1,1,0,4,4,3,1,3,5,0
14,0,0,19,0,0,0,4,4,3,1,2,2,2,2,0,0,1,0,1,1,1,1,0,2,3,4,2,3,2,2
13,0,0,18,0,1,0,4,3,1,1,1,2,2,2,0,0,1,0,0,1,1,1,1,4,4,5,1,2,2,0
16,0,0,18,0,0,0,4,3,1,1,2,0,1,4,0,0,1,0,0,1,1,1,0,4,3,3,1,1,3,0
18,0,1,18,0,1,0,4,4,4,4,1,1,1,1,0,0,1,0,0,1,1,1,1,1,4,2,2,2,1,0
14,0,0,18,0,1,1,4,4,3,1,1,1,1,2,0,0,1,1,0,1,1,1,1,4,2,4,1,1,4,0
12,0,1,17,0,1,0,4,4,1,4,1,0,2,1,0,0,0,0,0,1,1,1,0,4,1,1,2,2,5,0
7,0,0,17,1,0,0,4,4,0,0,2,1,2,3,0,0,1,0,1,1,1,1,0,5,3,4,1,1,5,0
16,0,0,17,0,0,0,4,2,1,1,2,1,2,3,0,0,1,0,0,1,1,1,0,4,3,3,1,1,3,0
18,0,0,17,0,0,0,3,2,3,3,2,0,1,4,0,0,1,0,1,0,1,1,0,5,2,2,1,2,5,0
9,0,1,19,1,1,0,2,1,2,0,0,1,2,3,1,0,0,0,1,1,1,1,1,4,3,1,1,1,5,0
14,0,1,20,0,0,1,3,2,0,1,0,2,1,1,2,0,0,0,1,1,1,0,0,5,5,3,1,1,5,0
10,0,1,19,1,0,0,3,3,1,0,2,0,1,2,0,0,0,0,1,1,1,0,1,4,5,3,1,2,5,0
10,0,0,18,0,0,0,1,4,1,4,1,1,1,2,0,1,1,0,0,0,1,0,1,3,4,4,1,2,5,2
12,0,0,18,0,0,0,2,1,0,1,0,1,2,2,0,0,1,0,1,1,1,1,0,5,3,3,1,2,1,2
11,0,0,17,0,0,0,2,3,1,1,0,0,2,2,0,0,0,0,1,1,1,1,1,4,2,1,1,1,3,2
15,0,0,17,1,0,0,4,4,4,4,0,1,1,1,0,0,0,0,1,1,1,1,0,4,4,4,1,1,5,2
14,0,0,18,0,0,0,4,3,1,1,0,1,1,3,0,0,1,0,1,1,1,1,1,4,3,4,1,1,5,2
12,0,0,18,0,1,0,4,3,3,0,0,1,2,1,0,0,1,0,0,1,1,1,0,3,2,4,1,4,1,8
15,0,0,17,1,0,0,3,4,2,0,0,0,1,3,0,0,1,0,1,0,1,1,0,4,3,4,2,5,5,2
11,0,0,18,0,0,0,3,3,2,1,0,0,1,2,0,0,1,0,0,1,1,1,0,4,1,4,1,1,3,8
11,0,1,19,0,0,0,4,2,3,1,0,1,2,2,0,0,1,0,1,1,1,1,1,5,4,4,1,1,1,9
12,0,0,18,0,0,0,4,4,4,1,0,1,1,2,0,0,1,0,0,1,1,1,0,4,4,4,3,3,5,0
11,0,0,18,0,0,0,3,4,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,5,4,4,1,1,1,4
14,0,0,17,0,0,0,4,4,3,3,0,1,1,1,0,0,0,0,1,1,1,1,0,5,3,4,1,2,5,2
15,0,0,17,0,0,1,4,3,0,0,0,1,1,2,0,0,1,0,0,1,1,1,1,5,2,2,1,2,5,14
12,0,0,17,0,1,1,3,3,0,1,1,1,1,2,0,1,1,0,0,1,1,1,0,5,3,3,1,1,5,0
11,0,0,17,0,1,0,2,1,1,1,1,0,1,2,0,0,0,0,1,1,1,1,0,4,2,3,2,2,2,2
8,0,1,18,0,1,0,4,4,1,1,2,0,1,1,0,0,1,0,0,1,1,1,0,4,2,5,3,4,5,2
10,0,0,19,0,0,0,1,1,1,1,0,2,3,3,0,0,0,0,1,1,0,0,1,1,5,5,4,3,5,12
8,0,0,19,0,1,1,1,1,1,1,0,2,3,2,2,0,1,0,0,0,1,1,1,5,3,4,1,1,4,2
10,0,0,18,0,0,0,2,2,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,4,3,5,2,4,5,2
14,0,0,17,0,0,0,2,2,1,1,0,1,1,2,0,0,1,0,0,1,1,0,1,4,2,2,1,1,3,4
11,0,0,17,1,1,0,2,2,0,0,0,1,1,3,0,0,1,0,1,1,1,1,0,3,3,2,2,2,3,0
17,0,0,17,0,0,0,3,1,0,0,0,0,1,3,0,0,1,0,0,0,1,1,0,3,4,3,2,3,5,0
14,0,0,17,0,1,0,0,2,2,2,1,0,2,3,0,0,0,0,0,1,1,1,0,3,3,3,2,3,2,0
14,0,0,18,0,0,0,1,1,1,1,1,1,2,3,0,0,0,0,1,1,1,1,0,4,5,5,1,2,2,0
13,0,1,18,0,0,0,4,4,1,1,0,1,1,3,0,0,0,0,1,1,1,1,0,4,3,3,2,2,3,0
17,0,1,17,0,0,0,3,3,1,0,2,1,1,1,0,0,0,0,1,0,1,1,0,4,3,5,3,5,5,0
11,0,1,17,1,0,0,2,2,0,1,0,1,4,1,0,0,1,0,0,1,1,1,0,4,4,5,5,5,4,2
13,0,0,17,0,0,0,4,4,4,0,0,1,1,3,0,0,1,0,1,1,1,1,0,5,4,4,1,3,4,0
15,0,0,17,0,0,0,4,4,4,4,0,1,2,3,0,0,1,0,0,0,1,1,1,4,3,3,1,2,4,4
11,0,0,17,0,0,0,3,3,2,1,0,1,1,1,0,0,1,1,1,1,1,1,0,4,2,5,2,5,5,2
11,0,1,18,0,1,0,2,2,1,1,0,1,1,4,0,0,1,1,1,1,1,1,0,4,5,5,2,4,5,0
11,0,1,19,1,0,0,3,2,2,0,1,2,1,1,0,0,1,0,0,0,1,0,1,5,3,4,2,2,5,0
10,0,0,18,0,0,0,2,2,2,1,0,1,4,2,0,0,0,0,1,1,1,0,1,4,2,5,1,1,2,2
15,0,0,17,1,0,0,2,4,2,1,0,0,1,3,0,0,1,0,0,1,1,1,1,4,4,3,1,1,5,0
15,0,1,18,0,0,0,2,2,1,1,2,1,1,1,0,0,0,0,0,0,1,1,0,5,4,2,1,2,5,6
10,0,0,18,0,0,0,3,3,0,0,1,1,1,2,0,0,0,0,1,1,1,1,0,5,3,4,1,1,4,8
10,0,0,18,0,1,0,2,2,1,1,1,2,1,2,0,0,0,0,1,0,1,1,1,4,3,3,1,1,2,0
14,0,0,18,1,0,0,2,2,2,1,0,1,2,4,0,0,0,0,1,1,1,0,0,4,4,4,1,1,4,6
11,0,0,17,0,0,0,3,4,0,1,0,1,1,3,0,0,0,0,0,1,1,1,0,4,4,5,1,3,5,8
12,0,0,17,0,0,0,3,2,1,1,1,1,1,2,0,0,1,0,0,1,1,1,1,4,3,2,2,3,2,0
14,0,0,18,0,1,0,3,3,0,0,1,1,1,4,0,0,1,0,0,1,1,1,0,5,3,3,1,1,1,4
14,0,0,17,1,0,1,3,2,1,1,1,1,1,2,0,0,1,0,0,1,1,1,0,4,3,3,2,3,2,0
12,0,1,18,0,0,0,4,4,4,0,1,0,1,2,0,0,1,0,1,1,1,1,0,4,3,3,2,2,2,0
16,0,1,18,0,1,0,3,4,0,1,1,1,1,2,0,0,0,0,1,1,1,1,1,4,3,3,1,3,5,6
10,0,0,17,0,0,1,2,2,2,2,1,0,1,2,0,0,1,0,0,1,1,1,1,3,3,1,1,2,4,18
11,0,0,18,0,0,0,2,3,2,1,0,1,1,3,0,0,1,0,0,1,1,1,0,4,3,3,1,2,3,0
14,0,0,18,0,0,0,3,2,1,0,3,1,1,3,0,0,0,0,0,1,1,1,1,5,4,3,2,3,1,4
15,0,1,18,1,0,0,4,3,4,0,0,1,1,3,0,0,0,0,0,1,1,1,1,5,3,2,1,2,4,4
14,0,1,18,0,0,0,4,3,4,1,0,1,1,3,0,0,1,0,0,1,1,1,1,5,4,5,2,3,5,0
11,0,0,17,0,0,0,4,3,3,1,2,1,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,3,4,0
12,0,0,17,0,0,0,2,1,0,1,0,1,2,2,0,0,1,0,1,1,1,1,1,4,3,4,2,2,1,10
12,0,0,17,0,0,0,2,1,0,1,2,1,1,2,0,0,1,0,1,1,1,1,0,4,3,5,2,4,4,4
10,0,0,19,0,1,1,2,3,2,1,1,2,2,1,1,0,0,0,0,1,0,1,0,2,2,3,3,4,5,16
10,0,0,17,0,0,0,3,1,1,2,1,1,1,1,1,0,1,1,0,1,1,1,1,4,1,2,1,1,3,6
9,0,0,21,0,1,0,4,4,1,1,2,2,1,3,2,0,0,1,1,1,1,1,0,3,3,2,1,1,5,0
9,0,1,18,0,1,0,2,2,0,0,2,1,1,2,0,0,1,0,1,0,0,1,0,4,4,4,1,3,3,11
13,0,1,18,0,1,1,3,4,1,1,2,2,1,2,0,0,0,0,1,1,1,1,1,4,3,5,1,4,2,9
13,0,0,17,0,0,0,2,2,0,0,2,1,1,2,0,0,1,0,1,1,1,1,0,4,3,4,1,3,4,0
12,0,1,17,0,1,1,4,4,3,1,2,1,1,3,0,0,1,0,0,1,1,1,0,4,4,2,1,2,4,2
14,0,0,18,0,1,0,4,2,4,1,0,1,1,2,0,0,1,0,1,1,1,1,0,4,2,2,1,1,3,0
9,0,1,21,1,1,0,1,1,2,1,0,2,2,2,2,0,1,0,1,1,0,1,1,5,3,3,5,2,4,21
11,0,0,20,1,0,0,1,1,1,1,2,2,2,3,0,0,0,0,0,1,1,1,1,3,2,2,1,3,3,8
9,0,0,19,0,0,0,4,4,4,1,1,2,1,1,1,0,1,0,0,1,1,1,1,3,2,5,4,4,5,5
16,0,1,17,0,1,1,3,2,1,1,2,1,1,2,0,0,1,0,0,1,1,1,0,4,4,4,1,2,5,10
14,0,0,18,0,0,0,3,2,2,1,2,0,1,3,0,0,1,0,0,1,1,1,1,4,3,4,1,2,2,5
13,0,1,18,1,0,0,2,3,1,0,2,0,1,1,0,0,0,0,0,1,1,1,0,3,1,3,4,5,4,13
7,0,1,19,0,0,0,2,1,1,1,2,1,1,1,0,0,0,0,0,1,1,1,0,5,3,4,1,4,4,10
14,0,0,18,0,1,1,2,2,0,1,2,1,2,2,0,0,1,0,0,1,1,1,0,4,1,4,1,3,4,10
8,0,0,20,0,0,0,1,0,1,1,2,1,2,1,1,1,0,0,0,1,1,1,1,5,3,1,1,1,5,5
10,0,0,18,0,0,0,3,2,0,1,1,1,1,2,0,0,1,0,1,0,1,1,1,3,1,2,1,2,1,4
10,1,0,16,0,0,0,1,3,2,1,3,0,2,1,0,0,1,0,0,1,0,1,1,4,3,3,1,3,5,11
12,1,0,16,1,0,0,2,2,1,1,0,1,2,2,0,0,1,0,1,1,1,1,0,4,4,4,1,1,5,0
10,1,0,15,1,0,0,1,1,2,0,3,1,1,1,1,0,1,0,0,1,1,0,1,4,1,3,1,1,2,6
10,1,0,15,1,0,0,3,3,2,1,0,1,2,1,0,0,1,0,0,1,1,1,0,5,4,4,2,3,5,4
16,1,0,16,1,0,0,2,3,2,0,0,1,2,2,0,0,0,0,0,1,1,0,0,4,5,2,1,2,5,0
6,1,0,15,1,1,0,2,1,2,1,1,1,2,1,0,0,0,0,0,1,0,0,0,1,3,4,1,1,1,0
10,1,1,16,1,1,1,4,4,2,1,1,1,1,2,0,0,1,0,0,1,1,0,0,5,3,2,1,3,2,5
10,1,1,16,0,0,1,1,2,1,1,3,1,1,3,0,1,0,0,0,1,1,1,0,4,4,3,1,1,5,0
10,1,0,17,1,0,0,3,2,2,1,0,0,1,2,1,0,0,0,0,1,1,0,1,4,5,4,1,2,5,0
6,1,0,17,1,0,0,1,1,1,1,3,0,1,1,1,0,1,0,0,0,0,1,0,5,4,4,2,2,5,0
13,1,0,15,1,0,0,4,4,4,1,0,1,2,1,0,0,0,0,0,1,1,1,1,1,5,1,3,5,5,0
10,1,0,16,0,1,1,2,2,2,1,2,1,2,4,0,0,0,0,1,0,0,0,1,1,2,1,1,1,1,4
10,1,0,15,1,1,0,1,1,2,0,2,0,2,2,0,0,1,0,0,1,1,1,0,5,4,3,1,2,4,0
6,1,0,15,1,1,0,1,1,1,0,0,1,2,1,1,0,1,0,0,1,1,1,1,4,4,3,1,2,2,4
12,1,0,16,1,0,0,0,2,1,1,3,1,2,1,0,0,1,0,1,1,1,0,0,3,2,3,1,2,2,0
10,1,0,17,1,0,0,2,3,1,1,0,1,2,1,0,0,1,0,0,1,1,1,0,5,5,5,1,3,3,2
14,1,0,15,1,0,0,3,3,1,0,0,0,2,1,0,0,0,0,0,0,1,1,0,4,1,3,1,1,4,0
7,1,1,16,0,0,0,1,1,2,0,1,1,2,2,0,0,1,0,1,1,1,0,1,5,4,5,4,5,3,0
8,1,1,17,0,0,0,1,1,1,1,1,1,1,2,0,0,0,1,0,0,1,1,0,4,4,3,2,4,5,4
12,1,1,15,1,1,0,4,1,3,0,2,0,1,2,0,0,1,0,1,1,1,1,0,5,3,4,1,2,2,0
7,1,1,15,1,1,0,4,1,3,0,2,0,1,2,0,0,1,0,1,1,1,1,0,5,3,4,1,2,2,7
9,1,1,16,1,0,0,3,4,1,3,3,1,3,2,0,0,0,0,0,0,1,0,0,3,4,5,1,2,5,4
7,1,1,15,1,0,0,1,1,1,1,0,1,4,2,0,0,1,0,1,1,1,0,1,5,4,5,2,4,4,8
11,1,1,15,0,1,0,3,3,2,2,2,0,1,2,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,0
8,1,1,17,1,0,0,2,1,1,1,3,1,3,1,0,0,0,0,1,1,0,0,1,5,5,5,5,5,3,8
16,1,0,16,1,0,0,4,4,4,4,0,1,2,3,0,0,0,0,1,1,1,1,1,4,2,2,1,1,4,6
11,1,0,15,1,0,0,1,2,1,0,0,1,2,1,0,0,0,0,0,1,1,0,0,5,1,2,1,1,1,3
15,1,0,16,1,0,0,2,3,1,0,0,1,3,2,0,0,1,0,0,1,1,1,0,4,5,4,1,2,1,2
10,1,1,16,1,0,0,1,2,1,1,0,0,2,2,0,0,0,0,0,1,1,0,0,4,3,3,1,1,5,0
9,1,0,16,1,0,0,2,2,1,1,0,1,3,2,0,0,1,0,0,1,1,1,0,4,4,5,1,1,4,4
10,1,0,16,0,0,0,1,2,1,0,0,1,1,3,1,0,1,0,0,1,1,0,0,1,3,2,1,2,4,0
9,1,0,16,0,0,0,1,2,1,0,0,1,1,3,1,0,1,0,0,1,1,0,0,1,3,2,1,2,4,3
9,1,0,15,0,0,0,2,1,2,1,1,1,1,2,0,1,1,0,0,0,1,1,0,4,4,2,3,3,2,0
13,1,0,16,0,0,0,1,1,2,1,0,0,1,2,0,0,1,0,0,0,1,0,1,5,4,3,2,1,2,0
10,1,1,17,1,1,0,1,2,2,0,2,1,1,1,0,0,1,0,1,1,1,1,0,5,5,5,5,5,3,4
13,1,0,16,1,0,0,1,1,1,1,1,0,4,4,0,0,1,0,0,0,1,1,0,4,3,2,1,1,1,0
10,1,0,16,1,0,0,1,1,2,1,3,0,4,3,0,1,1,0,0,1,1,0,0,4,4,3,1,1,5,2
11,1,0,15,1,0,0,1,1,2,1,1,0,2,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,2,1
13,1,0,16,1,0,0,1,1,2,1,3,1,2,1,0,0,0,0,1,1,1,1,1,4,2,2,4,3,2,0
13,1,0,15,1,0,0,1,1,2,2,0,0,3,2,0,0,1,0,0,1,1,0,0,4,2,1,1,2,2,0
14,1,0,15,1,1,0,2,2,1,1,3,0,1,3,0,1,1,0,0,1,1,0,0,4,4,3,2,2,5,2
11,1,1,16,1,0,0,1,1,2,1,3,0,2,1,0,0,0,0,1,1,1,0,0,3,4,4,3,4,5,6
9,1,0,18,0,0,0,1,2,1,1,0,0,1,2,1,0,1,0,1,1,1,1,1,3,4,4,2,3,5,9
10,1,1,15,0,0,0,3,1,1,0,1,1,2,1,0,0,1,0,0,1,1,0,0,3,2,3,1,3,4,0
14,1,0,16,1,0,0,2,2,1,0,0,0,3,2,0,0,1,0,1,1,1,1,0,5,3,4,1,1,2,1
13,1,1,15,0,0,0,2,2,3,1,2,1,3,1,0,0,0,0,0,1,1,0,0,4,3,3,1,2,4,1
13,1,1,16,0,0,0,4,4,1,4,0,0,1,2,0,0,1,0,1,1,1,0,1,4,3,1,1,1,3,0
13,1,0,15,1,0,0,3,3,0,1,2,1,1,2,0,0,1,0,0,1,1,1,1,4,5,4,1,1,1,4
12,1,0,16,1,0,0,2,2,2,1,0,1,2,2,1,0,1,0,1,0,1,0,0,4,4,4,2,3,5,2
14,1,0,16,1,1,0,2,2,1,1,1,0,3,1,0,0,1,0,1,1,1,0,1,4,3,2,1,1,4,0
10,1,1,16,0,1,0,2,1,2,0,0,1,2,1,0,0,1,0,1,1,1,1,0,2,4,3,2,3,4,4
10,1,1,15,1,1,0,1,3,2,1,2,0,3,1,0,0,1,0,1,1,1,1,0,4,2,4,3,5,3,2
12,1,0,15,0,0,0,2,2,1,0,0,1,2,3,0,0,1,0,1,1,1,0,0,5,3,2,1,1,4,0
10,1,0,16,1,1,0,2,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,5,4,3,1,1,5,2
12,1,1,15,0,0,0,3,3,0,0,0,0,2,1,0,0,1,0,1,0,1,1,0,4,3,3,2,4,3,11
7,1,0,16,1,0,0,1,1,2,1,0,0,2,2,3,1,1,0,0,1,1,0,0,3,4,3,1,1,1,0
9,1,0,17,0,0,0,2,2,1,2,0,1,1,1,0,0,1,0,1,1,0,0,0,4,5,3,1,1,5,4
9,1,0,19,0,0,0,2,3,2,0,0,2,1,1,1,0,0,0,0,1,0,1,1,4,4,4,1,1,2,0
9,1,0,17,1,0,0,2,1,2,1,0,1,3,1,0,0,1,0,1,1,0,0,1,5,5,3,1,1,3,2
9,1,0,15,1,1,0,1,1,2,1,0,1,2,1,0,0,1,0,0,1,0,0,1,5,2,1,1,3,4,0
9,1,0,16,1,0,0,2,2,1,1,0,0,3,2,0,0,1,0,0,1,0,1,0,3,4,5,1,2,1,1
7,1,0,16,0,1,1,2,2,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,4,3,4,1,2,1,6
